"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"05/06/2022","29.718,7","29.865,1","29.890,6","29.697,8","32,92K","-0,49%"
"04/06/2022","29.864,3","29.700,9","29.963,8","29.489,5","33,51K","0,55%"
"03/06/2022","29.700,9","30.455,7","30.674,8","29.330,8","72,13K","-2,48%"
"02/06/2022","30.455,5","29.798,6","30.638,5","29.604,4","81,40K","2,20%"
"01/06/2022","29.798,5","31.793,1","31.969,9","29.396,6","135,09K","-6,27%"
"31/05/2022","31.793,4","31.730,2","32.377,5","31.221,2","86,60K","0,22%"
"30/05/2022","31.723,3","29.465,2","32.185,6","29.307,2","129,56K","7,66%"
"29/05/2022","29.465,2","29.027,1","29.556,5","28.838,7","36,87K","1,51%"
"28/05/2022","29.027,1","28.620,1","29.194,4","28.537,2","43,87K","1,49%"
"27/05/2022","28.601,2","29.194,0","29.377,1","28.282,2","116,41K","-2,06%"
"26/05/2022","29.203,5","29.537,9","29.868,9","28.077,9","126,71K","-1,14%"
"25/05/2022","29.540,6","29.648,7","30.202,3","29.353,5","78,85K","-0,36%"
"24/05/2022","29.648,7","29.091,6","29.810,8","28.706,1","79,42K","1,91%"
"23/05/2022","29.093,3","30.287,3","30.644,8","28.913,6","92,10K","-3,94%"
"22/05/2022","30.286,6","29.433,0","30.462,0","29.260,1","50,60K","2,89%"
"21/05/2022","29.434,6","29.188,7","29.623,2","28.953,9","32,27K","0,88%"
"20/05/2022","29.178,6","30.305,9","30.735,1","28.738,5","98,78K","-3,72%"
"19/05/2022","30.305,9","28.700,4","30.525,1","28.682,1","101,38K","5,66%"
"18/05/2022","28.683,7","30.437,5","30.687,9","28.648,1","92,03K","-5,76%"
"17/05/2022","30.437,5","29.856,7","30.720,1","29.484,5","79,63K","1,97%"
"16/05/2022","29.849,0","31.308,3","31.312,4","29.135,8","100,25K","-4,66%"
"15/05/2022","31.308,7","30.078,6","31.383,8","29.499,4","65,44K","4,08%"
"14/05/2022","30.080,4","29.285,2","30.277,4","28.666,7","70,46K","2,72%"
"13/05/2022","29.284,4","28.994,3","31.002,7","28.755,0","141,23K","1,06%"
"12/05/2022","28.976,0","29.073,4","30.136,7","26.500,5","309,48K","-0,32%"
"11/05/2022","29.068,2","31.008,0","32.113,6","27.835,5","296,90K","-6,25%"
"10/05/2022","31.007,5","30.098,2","32.621,2","29.831,0","235,61K","3,03%"
"09/05/2022","30.095,0","34.041,0","34.227,0","30.095,0","268,09K","-11,64%"
"08/05/2022","34.060,0","35.468,0","35.497,0","33.727,0","671,05M","-3,97%"
"07/05/2022","35.468,0","36.003,0","36.119,0","34.773,0","288,86M","-1,50%"
"06/05/2022","36.009,0","36.540,0","36.646,0","35.267,0","752,84M","-1,46%"
"05/05/2022","36.544,0","39.686,0","39.833,0","36.183,0","1,04B","-7,92%"
